row,col,Location,Cam__,Lat,Long,Join1,X,Y,Location.1,Cam__.1,Lat.1,Long.1,Join1.1,X.1,Y.1,lineWKT
14,16,BE,6,47.0214369,-90.7578703,BE6,462406.155,727824.058,BE,8,47.0301432,-90.756242,BE8,462539.241,728790.36,"LINESTRING(462406.2 727824.1,462539.2 728790.4)"
17,18,CA,1,46.99931,-90.55811,CA1,477569.379,725237.628,CA,2,47.00832,-90.55715,CA2,477649.486,726238.354,"LINESTRING(477569.4 725237.6,477649.5 726238.4)"
18,19,CA,2,47.00832,-90.55715,CA2,477649.486,726238.354,CA,3,47.01728,-90.55705,CA3,477664.168,727233.991,"LINESTRING(477649.5 726238.4,477664.2 727234.0)"
20,21,CA,4,47.02689,-90.5694,CA4,476733.323,728308.666,CA,5,47.03578,-90.56935,CA5,476744.306,729296.554,"LINESTRING(476733.3 728308.7,476744.3 729296.6)"
16,22,BE,8,47.0301432,-90.756242,BE8,462539.241,728790.36,DE,1,47.06651,-90.72681,DE1,464813.078,732810.503,"LINESTRING(462539.2 728790.4,464813.1 732810.5)"
13,23,BE,5,47.02137,-90.77081,BE5,461422.733,727826.222,DE,2,47.0762,-90.72701,DE2,464807.897,733887.466,"LINESTRING(461422.7 727826.2,464807.9 733887.5)"
16,23,BE,8,47.0301432,-90.756242,BE8,462539.241,728790.36,DE,2,47.0762,-90.72701,DE2,464807.897,733887.466,"LINESTRING(462539.2 728790.4,464807.9 733887.5)"
22,23,DE,1,47.06651,-90.72681,DE1,464813.078,732810.503,DE,2,47.0762,-90.72701,DE2,464807.897,733887.466,"LINESTRING(464813.1 732810.5,464807.9 733887.5)"
5,25,BA,5,46.85269,-90.73251,BA5,464158.24,709053.799,HE,1,46.88411,-90.6969,HE1,466903.923,712520.585,"LINESTRING(464158.2 709053.8,466903.9 712520.6)"
7,25,BA,7,46.8617,-90.73217,BA7,464193.496,710054.776,HE,1,46.88411,-90.6969,HE1,466903.923,712520.585,"LINESTRING(464193.5 710054.8,466903.9 712520.6)"
8,25,BA,8,46.87081,-90.73158,BA8,464247.9,711066.689,HE,1,46.88411,-90.6969,HE1,466903.923,712520.585,"LINESTRING(464247.9 711066.7,466903.9 712520.6)"
25,26,HE,1,46.88411,-90.6969,HE1,466903.923,712520.585,HE,2,46.88406,-90.68347,HE2,467927.099,712506.03,"LINESTRING(466903.9 712520.6,467927.1 712506.0)"
26,27,HE,2,46.88406,-90.68347,HE2,467927.099,712506.03,HE,3,46.89298,-90.68376,HE3,467913.64,713497.446,"LINESTRING(467927.1 712506.0,467913.6 713497.4)"
17,29,CA,1,46.99931,-90.55811,CA1,477569.379,725237.628,IR,2,46.99422,-90.61218,IR2,473454.219,724702.701,"LINESTRING(477569.4 725237.6,473454.2 724702.7)"
28,29,IR,1,46.99344,-90.61826,IR1,472991.251,724619.653,IR,2,46.99422,-90.61218,IR2,473454.219,724702.701,"LINESTRING(472991.3 724619.7,473454.2 724702.7)"
28,30,IR,1,46.99344,-90.61826,IR1,472991.251,724619.653,IR,3,47.00279,-90.62126,IR3,472771.387,725660.485,"LINESTRING(472991.3 724619.7,472771.4 725660.5)"
17,31,CA,1,46.99931,-90.55811,CA1,477569.379,725237.628,IR,4,47.00278,-90.60806,IR4,473774.86,725651.5,"LINESTRING(477569.4 725237.6,473774.9 725651.5)"
18,31,CA,2,47.00832,-90.55715,CA2,477649.486,726238.354,IR,4,47.00278,-90.60806,IR4,473774.86,725651.5,"LINESTRING(477649.5 726238.4,473774.9 725651.5)"
20,31,CA,4,47.02689,-90.5694,CA4,476733.323,728308.666,IR,4,47.00278,-90.60806,IR4,473774.86,725651.5,"LINESTRING(476733.3 728308.7,473774.9 725651.5)"
29,31,IR,2,46.99422,-90.61218,IR2,473454.219,724702.701,IR,4,47.00278,-90.60806,IR4,473774.86,725651.5,"LINESTRING(473454.2 724702.7,473774.9 725651.5)"
30,31,IR,3,47.00279,-90.62126,IR3,472771.387,725660.485,IR,4,47.00278,-90.60806,IR4,473774.86,725651.5,"LINESTRING(472771.4 725660.5,473774.9 725651.5)"
32,33,MA,1,46.95408,-90.67305,MA1,468787.756,720280.092,MA,2,46.96283,-90.66018,MA2,469775.227,721244.109,"LINESTRING(468787.8 720280.1,469775.2 721244.1)"
33,34,MA,2,46.96283,-90.66018,MA2,469775.227,721244.109,MA,3,46.97201,-90.65932,MA3,469849.236,722263.688,"LINESTRING(469775.2 721244.1,469849.2 722263.7)"
28,35,IR,1,46.99344,-90.61826,IR1,472991.251,724619.653,MA,4,46.97145,-90.64626,MA4,470842.13,722193.184,"LINESTRING(472991.3 724619.7,470842.1 722193.2)"
34,35,MA,3,46.97201,-90.65932,MA3,469849.236,722263.688,MA,4,46.97145,-90.64626,MA4,470842.13,722193.184,"LINESTRING(469849.2 722263.7,470842.1 722193.2)"
36,37,MI,1,46.8754,-90.49862,MI1,482004.634,711437.643,MI,2,46.8745,-90.48565,MI2,482992.355,711331.435,"LINESTRING(482004.6 711437.6,482992.4 711331.4)"
36,38,MI,1,46.8754,-90.49862,MI1,482004.634,711437.643,MI,3,46.88399,-90.49849,MI3,482020.602,712392.133,"LINESTRING(482004.6 711437.6,482020.6 712392.1)"
37,39,MI,2,46.8745,-90.48565,MI2,482992.355,711331.435,MI,4,46.8837833,-90.4855167,MI4,483008.893,712362.968,"LINESTRING(482992.4 711331.4,483008.9 712363.0)"
38,39,MI,3,46.88399,-90.49849,MI3,482020.602,712392.133,MI,4,46.8837833,-90.4855167,MI4,483008.893,712362.968,"LINESTRING(482020.6 712392.1,483008.9 712363.0)"
39,40,MI,4,46.8837833,-90.4855167,MI4,483008.893,712362.968,MI,5,46.88355,-90.47183,MI5,484051.528,712330.683,"LINESTRING(483008.9 712363.0,484051.5 712330.7)"
40,41,MI,5,46.88355,-90.47183,MI5,484051.528,712330.683,MI,6,46.89226,-90.45892,MI6,485040.806,713292.74,"LINESTRING(484051.5 712330.7,485040.8 713292.7)"
21,42,CA,5,47.03578,-90.56935,CA5,476744.306,729296.554,NO,1,47.06298,-90.58955,NO1,475232.387,732330.564,"LINESTRING(476744.3 729296.6,475232.4 732330.6)"
21,43,CA,5,47.03578,-90.56935,CA5,476744.306,729296.554,NO,2,47.07148,-90.58515,NO2,475573.568,733272.638,"LINESTRING(476744.3 729296.6,475573.6 733272.6)"
42,43,NO,1,47.06298,-90.58955,NO1,475232.387,732330.564,NO,2,47.07148,-90.58515,NO2,475573.568,733272.638,"LINESTRING(475232.4 732330.6,475573.6 733272.6)"
25,44,HE,1,46.88411,-90.6969,HE1,466903.923,712520.585,OA,1,46.91842,-90.73148,OA1,464304.837,716357.218,"LINESTRING(466903.9 712520.6,464304.8 716357.2)"
27,45,HE,3,46.89298,-90.68376,HE3,467913.64,713497.446,OA,2,46.91855,-90.70541,OA2,466289.958,716353.483,"LINESTRING(467913.6 713497.4,466290.0 716353.5)"
44,46,OA,1,46.91842,-90.73148,OA1,464304.837,716357.218,OA,3,46.92749,-90.73178,OA3,464291.398,717365.328,"LINESTRING(464304.8 716357.2,464291.4 717365.3)"
46,47,OA,3,46.92749,-90.73178,OA3,464291.398,717365.328,OA,4,46.92755,-90.71869,OA4,465287.974,717362.781,"LINESTRING(464291.4 717365.3,465288.0 717362.8)"
32,48,MA,1,46.95408,-90.67305,MA1,468787.756,720280.092,OA,5,46.92758,-90.70547,OA5,466294.415,717356.977,"LINESTRING(468787.8 720280.1,466294.4 717357.0)"
45,48,OA,2,46.91855,-90.70541,OA2,466289.958,716353.483,OA,5,46.92758,-90.70547,OA5,466294.415,717356.977,"LINESTRING(466290.0 716353.5,466294.4 717357.0)"
47,48,OA,4,46.92755,-90.71869,OA4,465287.974,717362.781,OA,5,46.92758,-90.70547,OA5,466294.415,717356.977,"LINESTRING(465288.0 717362.8,466294.4 717357.0)"
46,50,OA,3,46.92749,-90.73178,OA3,464291.398,717365.328,OA,7,46.93652,-90.73167,OA7,464309.134,718368.703,"LINESTRING(464291.4 717365.3,464309.1 718368.7)"
49,50,OA,6,46.93631,-90.74464,OA6,463321.699,718354.66,OA,7,46.93652,-90.73167,OA7,464309.134,718368.703,"LINESTRING(463321.7 718354.7,464309.1 718368.7)"
47,51,OA,4,46.92755,-90.71869,OA4,465287.974,717362.781,OA,8,46.93637,-90.71659,OA8,465456.798,718341.435,"LINESTRING(465288.0 717362.8,465456.8 718341.4)"
32,52,MA,1,46.95408,-90.67305,MA1,468787.756,720280.092,OA,9,46.93672,-90.70568,OA9,466287.567,718372.799,"LINESTRING(468787.8 720280.1,466287.6 718372.8)"
48,52,OA,5,46.92758,-90.70547,OA5,466294.415,717356.977,OA,9,46.93672,-90.70568,OA9,466287.567,718372.799,"LINESTRING(466294.4 717357.0,466287.6 718372.8)"
51,52,OA,8,46.93637,-90.71659,OA8,465456.798,718341.435,OA,9,46.93672,-90.70568,OA9,466287.567,718372.799,"LINESTRING(465456.8 718341.4,466287.6 718372.8)"
49,54,OA,6,46.93631,-90.74464,OA6,463321.699,718354.66,OA,11,46.94524,-90.74516,OA11,463291.549,719347.378,"LINESTRING(463321.7 718354.7,463291.5 719347.4)"
53,54,OA,10,46.94504,-90.75846,OA10,462279.167,719334.858,OA,11,46.94524,-90.74516,OA11,463291.549,719347.378,"LINESTRING(462279.2 719334.9,463291.5 719347.4)"
50,55,OA,7,46.93652,-90.73167,OA7,464309.134,718368.703,OA,12,46.9456,-90.73202,OA12,464291.913,719377.963,"LINESTRING(464309.1 718368.7,464291.9 719378.0)"
54,55,OA,11,46.94524,-90.74516,OA11,463291.549,719347.378,OA,12,46.9456,-90.73202,OA12,464291.913,719377.963,"LINESTRING(463291.5 719347.4,464291.9 719378.0)"
51,56,OA,8,46.93637,-90.71659,OA8,465456.798,718341.435,OA,13,46.94554,-90.71892,OA13,465288.792,719362.072,"LINESTRING(465456.8 718341.4,465288.8 719362.1)"
55,56,OA,12,46.9456,-90.73202,OA12,464291.913,719377.963,OA,13,46.94554,-90.71892,OA13,465288.792,719362.072,"LINESTRING(464291.9 719378.0,465288.8 719362.1)"
54,57,OA,11,46.94524,-90.74516,OA11,463291.549,719347.378,OA,14,46.9542,-90.74543,OA14,463280.468,720343.251,"LINESTRING(463291.5 719347.4,463280.5 720343.3)"
55,58,OA,12,46.9456,-90.73202,OA12,464291.913,719377.963,OA,15,46.95494,-90.73238,OA15,464274.212,720416.125,"LINESTRING(464291.9 719378.0,464274.2 720416.1)"
57,58,OA,14,46.9542,-90.74543,OA14,463280.468,720343.251,OA,15,46.95494,-90.73238,OA15,464274.212,720416.125,"LINESTRING(463280.5 720343.3,464274.2 720416.1)"
32,59,MA,1,46.95408,-90.67305,MA1,468787.756,720280.092,OA,16,46.95462,-90.71885,OA16,465303.37,720371.036,"LINESTRING(468787.8 720280.1,465303.4 720371.0)"
56,59,OA,13,46.94554,-90.71892,OA13,465288.792,719362.072,OA,16,46.95462,-90.71885,OA16,465303.37,720371.036,"LINESTRING(465288.8 719362.1,465303.4 720371.0)"
58,59,OA,15,46.95494,-90.73238,OA15,464274.212,720416.125,OA,16,46.95462,-90.71885,OA16,465303.37,720371.036,"LINESTRING(464274.2 720416.1,465303.4 720371.0)"
58,60,OA,15,46.95494,-90.73238,OA15,464274.212,720416.125,OT,1,46.98784,-90.70658,OT1,466270.27,724054.128,"LINESTRING(464274.2 720416.1,466270.3 724054.1)"
59,60,OA,16,46.95462,-90.71885,OA16,465303.37,720371.036,OT,1,46.98784,-90.70658,OT1,466270.27,724054.128,"LINESTRING(465303.4 720371.0,466270.3 724054.1)"
34,61,MA,3,46.97201,-90.65932,MA3,469849.236,722263.688,OT,2,46.98734,-90.69337,OT2,467274.299,723989.591,"LINESTRING(469849.2 722263.7,467274.3 723989.6)"
60,61,OT,1,46.98784,-90.70658,OT1,466270.27,724054.128,OT,2,46.98734,-90.69337,OT2,467274.299,723989.591,"LINESTRING(466270.3 724054.1,467274.3 723989.6)"
12,62,BE,4,47.0119,-90.74472,BE4,463395.43,726754.673,OT,3,46.99686,-90.70585,OT3,466334.811,725055.981,"LINESTRING(463395.4 726754.7,466334.8 725056.0)"
60,62,OT,1,46.98784,-90.70658,OT1,466270.27,724054.128,OT,3,46.99686,-90.70585,OT3,466334.811,725055.981,"LINESTRING(466270.3 724054.1,466334.8 725056.0)"
61,63,OT,2,46.98734,-90.69337,OT2,467274.299,723989.591,OT,4,46.99644,-90.69314,OT4,467300.735,725000.68,"LINESTRING(467274.3 723989.6,467300.7 725000.7)"
62,63,OT,3,46.99686,-90.70585,OT3,466334.811,725055.981,OT,4,46.99644,-90.69314,OT4,467300.735,725000.68,"LINESTRING(466334.8 725056.0,467300.7 725000.7)"
34,64,MA,3,46.97201,-90.65932,MA3,469849.236,722263.688,OT,5,46.99599,-90.68076,OT5,468241.555,724942.42,"LINESTRING(469849.2 722263.7,468241.6 724942.4)"
63,64,OT,4,46.99644,-90.69314,OT4,467300.735,725000.68,OT,5,46.99599,-90.68076,OT5,468241.555,724942.42,"LINESTRING(467300.7 725000.7,468241.6 724942.4)"
63,65,OT,4,46.99644,-90.69314,OT4,467300.735,725000.68,OT,6,47.00544,-90.69263,OT6,467348.353,726000.47,"LINESTRING(467300.7 725000.7,467348.4 726000.5)"
64,66,OT,5,46.99599,-90.68076,OT5,468241.555,724942.42,OT,7,47.00516,-90.67934,OT7,468358.356,725960.507,"LINESTRING(468241.6 724942.4,468358.4 725960.5)"
65,66,OT,6,47.00544,-90.69263,OT6,467348.353,726000.47,OT,7,47.00516,-90.67934,OT7,468358.356,725960.507,"LINESTRING(467348.4 726000.5,468358.4 725960.5)"
67,68,OU,1,47.00087,-90.4549,OU1,485417.064,725360.253,OU,2,47.0007,-90.44138,OU2,486444.805,725335.481,"LINESTRING(485417.1 725360.3,486444.8 725335.5)"
18,69,CA,2,47.00832,-90.55715,CA2,477649.486,726238.354,OU,3,47.01001,-90.45405,OU3,485487.572,726375.571,"LINESTRING(477649.5 726238.4,485487.6 726375.6)"
19,69,CA,3,47.01728,-90.55705,CA3,477664.168,727233.991,OU,3,47.01001,-90.45405,OU3,485487.572,726375.571,"LINESTRING(477664.2 727234.0,485487.6 726375.6)"
67,69,OU,1,47.00087,-90.4549,OU1,485417.064,725360.253,OU,3,47.01001,-90.45405,OU3,485487.572,726375.571,"LINESTRING(485417.1 725360.3,485487.6 726375.6)"
68,70,OU,2,47.0007,-90.44138,OU2,486444.805,725335.481,OU,4,47.00953,-90.44093,OU4,486484.539,726316.533,"LINESTRING(486444.8 725335.5,486484.5 726316.5)"
