,Squirrel
CNBA01,1
CNBA02,0
CNBA03,12
CNBA04,10
CNBA05,16
CNBA06,9
CNBA07,26
CNBA08,10
CNBE01,20
CNBE02,0
CNBE03,0
CNBE04,35
CNBE05,65
CNBE06,3
CNBE07,14
CNBE08,0
CNCA01,2
CNCA02,0
CNCA03,10
CNCA04,2
CNCA05,0
CNDE01,0
CNDE02,0
CNEA01,0
CNHE01,2
CNHE02,0
CNHE03,0
CNIR01,0
CNIR02,0
CNIR03,6
CNIR04,4
CNMA01,0
CNMA02,0
CNMA03,0
CNMA04,4
CNMI01,3
CNMI02,2
CNMI03,0
CNMI04,0
CNMI05,0
CNMI06,0
CNNO01,0
CNNO02,0
CNOA01,0
CNOA02,0
CNOA03,0
CNOA04,0
CNOA05,0
CNOA06,0
CNOA07,0
CNOA08,0
CNOA09,0
CNOA10,0
CNOA11,0
CNOA12,0
CNOA13,0
CNOA14,0
CNOA15,0
CNOA16,0
CNOT01,2
CNOT02,3
CNOT03,0
CNOT04,0
CNOT05,0
CNOT06,1
CNOT07,0
CNOU01,2
CNOU02,0
CNOU03,0
CNOU04,0
CNOU05,1
CNOU06,1
CNOU07,1
CNOU08,2
CNOU09,19
CNOU10,0
CNOU11,0
CNOU12,0
CNOU13,0
CNOU14,0
CNOU15,0
CNOU16,61
CNOU17,5
CNOU18,1
CNOU19,76
CNOU20,20
CNOU21,10
CNOU22,1
CNOU24,19
CNOU25,0
CNOU26,0
CNOU27,0
CNOU28,1
CNOU29,0
CNRA01,0
CNRA02,0
CNRO01,0
CNRO02,5
CNRO03,0
CNRO04,13
CNRO05,5
CNRO06,19
CNSA01,4
CNSA02,3
CNSA03,19
CNSA04,0
CNSA05,0
CNSA06,0
CNSA07,0
CNSA08,33
CNSA09,1
CNSA10,19
CNSA11,1
CNSA12,1
CNSO01,0
CNSO02,0
CNSTC09,0
CNSTC10,0
CNSTC12,0
CNSTD05,0
CNSTD06,0
CNSTD07,0
CNSTD08,0
CNSTD09,0
CNSTD10,0
CNSTD11,0
CNSTE03,0
CNSTE04,0
CNSTE05,0
CNSTE06,0
CNSTE07,0
CNSTE08,0
CNSTE10,0
CNSTF02,0
CNSTF03,0
CNSTF04,0
CNSTF05,0
CNSTF07,0
CNSTF09,0
CNSTG02,0
CNSTG03,0
CNSTG04,0
CNSTG06,0
CNSTG07,0
CNSTG09,0
CNSTH04,0
CNYO01,0
CNYO02,0
CNOU23,0
ST1,0
ST2,0
ST3,0
ST4,0
ST5,0
ST6,0
