,BA1,BA2,BA3,BA4,BA5,BA6,BA7,BA8,BE1,BE2,BE3,BE4,BE5,BE6,BE7,BE8,CA1,CA2,CA3,CA4,CA5,DE1,DE2,EA1,HE1,HE2,HE3,IR1,IR2,IR3,IR4,MA1,MA2,MA3,MA4,MI1,MI2,MI3,MI4,MI5,MI6,NO1,NO2,OA1,OA2,OA3,OA4,OA5,OA6,OA7,OA8,OA9,OA10,OA11,OA12,OA13,OA14,OA15,OA16,OT1,OT2,OT3,OT4,OT5,OT6,OT7,OU1,OU2,OU3,OU4,OU5,OU6,OU7,OU8,OU9,OU10,OU11,OU12,OU13,OU14,OU15,OU16,OU17,OU18,OU19,OU20,OU21,OU22,OU24,OU25,OU26,OU27,OU28,OU29,RA1,RA2,RO1,RO2,RO3,RO4,RO5,RO6,SA1,SA2,SA3,SA4,SA5,SA6,SA7,SA8,SA9,SA10,SA11,SA12,SO1,SO2,STC9,STC10,STC12,STD5,STD6,STD7,STD8,STD9,STD10,STD11,STE3,STE4,STE5,STE6,STE7,STE9,STE10,STF2,STF3,STF4,STF5,STF7,STF9,STG2,STG3,STG4,STG6,STG7,STG9,STH4,YO1,YO2,OU23,ST1,ST2,ST3,ST4,ST5,ST6
BA1,0,1057.620356,1383.215822,2216.255649,2793.793188,3132.897941,3573.716322,4462.160469,18678.8329,19694.14381,19663.40992,19650.15639,20691.7381,20679.93876,20669.52769,21648.33659,23792.30652,24612.32684,25401.41855,25719.36099,26544.20926,25805.57485,26876.3609,24237.33696,7197.084044,7904.690053,8598.754701,20580.81903,20898.86039,21361.04199,21871.23593,14730.84924,16043.66375,16980.15574,17393.65167,20345.26143,21290.64476,20583.20897,21533.25101,22538.79182,23733.42457,28394.80804,29388.25558,9467.313281,10108.79042,10447.93031,10697.38286,11032.26582,11273.06169,11434.6319,11682.80823,11976.24341,12189.79596,12257.62961,12423.65413,12620.95216,13248.2871,13444.16282,13603.30844,17410.58961,17615.28388,18399.76195,18591.78188,18820.63097,19566.59014,19822.54513,29574.32479,30375.77552,30264.63988,31004.42602,31792.08586,31675.47073,32414.4374,33186.70919,31624.65381,32347.49686,33837.47627,32325.05748,33044.19205,33775.41509,34504.42229,33773.10099,34472.70917,35211.50777,33786.71061,34534.95809,35151.6862,35940.27337,35876.23015,36573.02256,37277.5676,36607.33529,37300.18159,37999.4385,15693.85528,16002.36203,21549.97182,22523.95371,22758.76658,23516.7424,23742.43261,24483.00101,21385.38763,20664.10827,19924.74064,22804.05386,22043.46426,21347.29566,20646.54644,23485.61233,22770.18542,22042.28906,21175.07734,22168.4195,23211.48743,24168.87516,21043.31713,21821.27038,23362.31378,17598.61568,18338.63507,18970.00318,19703.48261,20483.28979,21213.73177,21809.26111,15514.02599,16196.38226,16816.8011,17589.24836,18266.32467,19814.5413,20513.05054,14231.99597,14816.05079,15442.25118,16145.72157,17666.40358,19268.67455,13376.17462,14054.03839,14761.94276,16239.65429,17006.36931,18765.55941,14047.66146,17805.35661,19123.36396,33111.3843,13350.74796,16925.41753,19064.27134,18468.22483,22522.29435,12616.92432
BA2,1057.620356,0,821.0637089,1241.56733,2034.765762,2098.242997,2648.336062,3468.419394,17638.75606,18665.40757,18623.40423,18601.469,19662.23894,19639.85234,19621.11571,20607.14065,22877.93699,23685.06872,24461.69523,24754.21995,25570.00436,24752.12142,25823.32945,23915.27058,6310.945757,7080.407877,7715.786168,19596.52572,19921.2729,20363.57246,20888.90457,13717.00495,15038.54517,15966.75886,16398.08616,19953.07128,20911.94829,20146.35024,21108.0615,22124.95218,23289.38696,27382.55082,28374.54575,8410.721138,9083.275558,9390.50086,9646.764898,9997.177877,10219.61124,10377.01248,10630.79824,10934.18778,11150.52659,11205.30058,11366.17563,11565.57829,12196.83969,12387.07564,12546.83854,16354.33395,16563.91771,17343.02384,17538.79406,17773.94325,18512.45857,18774.15959,28784.55719,29601.27015,29457.11691,30212.06222,31014.08941,30866.18296,31619.92151,32405.56402,30785.3516,31522.12718,33039.5428,31471.14032,32204.10397,32948.69267,33691.20536,32918.63123,33632.44853,34383.53565,32907.62344,33669.41358,34298.17369,35099.37279,35010.13138,35719.19408,36435.97416,35729.8695,36434.41665,37145.66575,14721.55869,15012.50013,20495.19523,21468.40882,21707.11637,22460.59313,22689.57704,23433.59981,20837.79293,20088.19214,19320.75784,22251.55104,21464.99829,20740.0592,20010.56673,22904.23692,22163.2236,21407.82855,20511.54265,21480.31235,22175.36212,23129.57574,20235.32289,21028.55954,22611.03133,16714.52298,17480.35115,18136.24022,18893.35506,19696.19218,20448.54062,21070.0473,14598.76973,15309.58939,15956.9789,16755.73346,17459.37906,19055.47757,19777.90649,13310.50458,13929.67808,14583.3012,15315.22586,16890.02062,18543.01618,12483.51499,13193.51725,13931.94393,15471.62715,16264.84361,18079.41955,13254.90525,16958.55977,18296.02075,32299.90456,12527.23081,16121.421,18281.51517,17717.02409,21749.44347,11757.90234
BA3,1383.215822,821.0637089,0,1023.500745,1410.629651,1993.894427,2237.429357,3183.727376,17754.36773,18822.72415,18738.11364,18672.14414,19815.84289,19753.08793,19692.37683,20714.52005,22419.38377,23243.94325,24038.4737,24371.64907,25203.38751,24783.11535,25857.36932,24685.97567,5822.033003,6521.474312,7221.571645,19250.73539,19562.36524,20045.16577,20538.80642,13442.7026,14740.8028,15689.30129,16077.36292,19166.73846,20122.55603,19372.12369,20330.70004,21344.66605,22517.9232,27097.25061,28092.77735,8355.363059,8851.071831,9352.912108,9525.266855,9796.563062,10272.01804,10351.31315,10516.89787,10761.03814,11282.88389,11264.12075,11352.85142,11481.80742,12259.76585,12384.40494,12476.8009,16274.90627,16435.39876,17270.90202,17422.0395,17614.9405,18405.20853,18624.05578,28195.97737,29000.30235,28883.77326,29625.70779,30415.97269,30294.43376,31035.42547,31810.0398,30241.51257,30964.99625,32457.98745,30941.95235,31661.03989,32392.84302,33123.01211,32390.00394,33089.55884,33828.87285,32405.51596,33152.40781,33768.55672,34557.11496,34493.70391,35189.89534,35894.39994,35225.88383,35917.61614,36616.3047,15022.05017,15277.31282,20392.9927,21374.48206,21576.59712,22374.32268,22567.92696,23286.80854,21523.94618,20760.34703,19978.16018,22934.33643,22134.79803,21394.45652,20648.54607,23571.5486,22816.76135,22045.62217,21131.66435,22083.06113,21965.68994,22932.16527,19662.04426,20442.04467,21991.69224,16219.01959,16955.95428,17586.88798,18321.91271,19104.85193,19839.59268,20441.67806,14142.88415,14817.4706,15434.29723,16206.117,16884.99563,18441.62627,19146.4405,12863.61245,13437.29269,14059.76712,14762.64186,16289.55901,17904.66227,11999.0983,12671.79162,13378.84045,14864.24072,15637.39206,17414.95263,12667.62316,17429.63365,18785.51048,31730.1334,11967.81945,15544.30898,17686.43629,17097.01021,21146.65907,11234.7023
BA4,2216.255649,1241.56733,1023.500745,0,1011.116701,971.4614987,1410.223303,2246.321023,16732.61723,17805.39129,17716.21835,17648.64364,18797.85791,18731.02057,18668.87612,19692.03328,21636.37391,22444.02207,23222.04028,23520.64246,24339.92122,23761.11997,24835.20513,24254.83208,5074.457902,5863.67316,6478.8369,18371.10329,18692.48069,19146.58089,19662.49303,12514.8543,13827.64357,14764.06286,15179.57126,18999.46708,19967.99413,19155.70282,20125.33411,21149.96838,22288.65969,26178.57119,27172.0858,7341.094369,7897.39932,8336.280039,8527.74958,8828.70464,9248.52471,9333.384277,9517.813408,9782.349494,10263.98882,10240.62027,10333.6537,10475.28389,11236.26925,11364.25505,11467.54835,15268.8927,15443.14418,16263.39604,16426.36774,16633.55468,17406.95303,17639.64708,27568.63709,28391.08845,28234.88469,28994.995,29802.31911,29643.21905,30401.90977,31192.39407,29553.70519,30294.18106,31820.17649,30236.0734,30972.17105,31720.25556,32466.73104,31683.38217,32400.39112,33154.65332,31668.21353,32432.02893,33063.06549,33867.08257,33772.61056,34483.96485,35203.45338,34490.61101,35196.91262,35910.39709,14045.2234,14286.9374,19393.66464,20373.046,20586.02533,21371.02875,21574.66975,22302.01872,20896.94817,20109.99607,19304.86915,22299.8669,21478.99368,20714.8305,19945.26387,22910.25586,22134.36441,21340.58885,20403.04949,21331.03825,21006.30516,21967.40227,19014.51773,19813.11055,21412.41441,15475.17483,16245.58317,16907.67979,17672.17403,18483.33148,19244.52155,19877.66761,13357.20556,14070.01227,14722.13737,15527.59666,16239.79018,17854.7716,18588.11897,12068.98595,12690.31243,13348.95716,14088.46348,15682.76954,17358.68711,11243.52187,11959.17826,12705.88908,14268.91399,15074.12282,16916.81429,12043.06433,16550.87724,17920.34938,31076.09763,11304.08832,14903.45016,17070.93775,16520.65346,20541.70316,10524.42563
BA5,2793.793188,2034.765762,1410.629651,1011.116701,0,1383.286793,1001.597694,2014.88587,16862.52909,17985.90853,17841.83759,17717.30283,18970.68433,18851.85468,18735.51517,19802.85328,21018.44358,21847.71496,22647.94632,22997.44802,23836.48857,23765.72738,24842.16317,25197.66001,4422.372701,5110.987873,5817.991734,17897.42702,18201.74056,18707.44026,19182.36322,12143.39627,13422.15336,14383.62273,14741.70356,18004.90186,18971.334,18171.63862,19138.90587,20161.37089,21308.45334,25776.82138,26774.27638,7304.890127,7604.578103,8312.595586,8385.432654,8573.564517,9338.405441,9316.126101,9377.97608,9559.173315,10451.36783,10330.00106,10325.02934,10370.0839,11323.52463,11362.91783,11375.02422,15148.28508,15257.38203,16149.5291,16253.56233,16404.93032,17244.31729,17420.61279,26792.4997,27600.43746,27476.97561,28221.72235,29015.26461,28887.38998,29631.03635,30408.60048,28831.26938,29555.86981,31052.96165,29531.32306,30250.76876,30983.60154,31715.43595,30979.37525,31679.29125,32419.5293,30996.2477,31742.05615,32357.92758,33146.82608,33083.36747,33779.26604,34484.0861,33816.38645,34507.25194,35205.676,14425.58345,14620.21987,19233.65137,20222.0654,20387.41502,21228.35292,21386.08457,22080.13857,21738.1575,20935.26701,20113.51965,23134.72876,22298.97612,21517.02352,20728.60858,23724.92936,22933.04716,22121.02239,21163.31159,22067.82125,20705.09654,21680.88608,18254.8318,19037.64711,20598.31003,14811.46871,15545.53892,16176.72855,16914.29859,17701.57829,18441.92663,19052.29608,12744.7265,13410.68802,14024.01829,14795.92307,15477.77495,17045.68871,17758.48311,11468.91712,12030.75677,12649.51191,13352.57678,14888.64407,16520.24232,10594.55377,11261.74857,11968.73128,13465.44295,14247.05927,16047.61154,11262.54061,17136.16768,18524.08556,30322.78559,10558.1012,14137.46147,16284.06327,15703.46955,19746.95803,9824.70218
BA6,3132.897941,2098.242997,1993.894427,971.4614987,1383.286793,0,967.364989,1422.956157,15769.29254,16850.23141,16752.52969,16679.43284,17841.52543,17766.90366,17699.62798,18726.87321,20870.88988,21662.06227,22424.17118,22690.62493,23498.09927,22789.70976,23863.83318,23938.84122,4415.87444,5291.641061,5803.116967,17517.64825,17847.87163,18275.13544,18811.27067,11621.12614,12946.50812,13870.82483,14311.66163,18827.56375,19805.81214,18936.40223,19914.2701,20946.85013,22050.31938,25286.47547,26277.99291,6373.03544,6985.067712,7366.626211,7572.7136,7900.894775,8279.111892,8362.995923,8560.99522,8843.427822,9307.085537,9271.510136,9362.697341,9512.251716,10267.29654,10392.98611,10502.3671,14305.61785,14490.37877,15298.9985,15470.73562,15689.47674,16449.20765,16692.86681,26944.9903,27783.89299,27590.472,28367.13543,29189.94143,28995.68732,29770.49735,30575.3768,28871.97499,29627.90595,31183.90226,29537.10164,30288.66552,31051.5429,31812.84698,30982.99088,31715.88951,32483.70494,30939.36244,31718.52274,32363.09035,33181.10545,33057.87841,33782.98321,34516.06699,33762.49975,34481.98972,35208.884,13147.73778,13371.4187,18434.92677,19412.68531,19633.89119,20409.27626,20620.35436,21354.28378,20385.21699,19574.93698,18746.81495,21778.26576,20936.10963,20147.83121,19354.16673,22359.71768,21562.51234,20745.68593,19784.10665,20685.6956,20079.91436,21036.2372,18381.10923,19196.31738,20840.83715,14754.83749,15556.29599,16247.34666,17038.92176,17875.84379,18661.17284,19323.09686,12600.31173,13349.06021,14034.2796,14870.76731,15613.81381,17281.93744,18041.36991,11306.37232,11973.34141,12665.938,13439.48581,15095.53378,16826.47807,10522.5634,11278.78663,12062.41889,13696.93776,14531.08056,16432.03522,11450.3748,15769.98382,17153.52353,30425.0661,10675.3967,14284.95605,16472.00379,15960.95369,19946.80647,9852.266328
BA7,3573.716322,2648.336062,2237.429357,1410.223303,1001.597694,967.364989,0,1013.37442,15871.4137,17003.19658,16849.82785,16718.95538,17986.14524,17858.94652,17736.87014,18808.47329,20234.45677,21046.89677,21830.81382,22146.14552,22973.22033,22764.16028,23840.60824,24843.10144,3664.236421,4466.367376,5068.67321,17015.76137,17329.82104,17807.81759,18304.65339,11210.00947,12504.27503,13455.29365,13839.98854,17864.74064,18842.15906,17979.68148,18956.44784,19988.02611,21097.26866,24860.97033,25856.82027,6303.425417,6638.438279,7311.207516,7389.50737,7598.420894,8345.543986,8314.731163,8382.401167,8577.566087,9475.472413,9336.271221,9323.706438,9371.522403,10328.90788,10361.66339,10375.79109,14152.55619,14271.31445,15153.26306,15265.48331,15428.17959,16254.79252,16441.96878,26166.72438,26992.97497,26829.20092,27592.30579,28403.04446,28237.11337,28998.59694,29792.12518,28144.01441,28885.72973,30416.02152,28825.8535,29562.40284,30311.59802,31059.81067,30273.15911,30990.5885,31745.81743,30259.30431,31022.06185,31652.84416,32457.22295,32362.68388,33073.74179,33793.54153,33081.57697,33786.98214,34500.17381,13508.75813,13683.86203,18244.10484,19231.27897,19405.09045,20236.49105,20401.95242,21103.16376,21194.4262,20369.54912,19526.25502,22579.98553,21724.149,20919.35666,20108.19833,23141.25499,22329.16737,21495.31398,20515.03567,21392.55415,19749.6621,20721.07416,17610.01251,18411.97338,20023.67418,14066.2023,14835.39069,15499.21211,16267.534,17084.12361,17851.83708,18494.36789,11954.84836,12661.25335,13311.94332,14119.36378,14836.26261,16464.99661,17207.35974,10668.6927,11281.35174,11938.82101,12680.95935,14288.22737,15983.13927,9835.252484,10549.05361,11298.85825,12878.44192,13693.7508,15561.7894,10645.88033,16333.44892,17733.16396,29669.53071,9898.936173,13501.14534,15673.58616,15134.8308,19145.98767,9114.479612
BA8,4462.160469,3468.419394,3183.727376,2246.321023,2014.88587,1422.956157,1013.37442,0,14873.234,16015.45042,15850.39588,15711.12813,16995.98526,16858.27513,16728.59373,17805.84256,19449.35256,20243.07107,21008.99572,21287.82653,22101.76782,21751.15798,22827.64682,24538.76331,3027.915414,3950.72244,4398.434874,16128.51574,16452.87613,16900.55361,17420.66815,10271.17751,11581.50343,12519.89423,12933.78368,17760.60836,18746.32454,17822.05763,18805.72247,19843.92509,20911.72501,23933.47728,24927.3931,5290.835371,5667.467836,6298.789195,6381.420563,6614.827796,7346.588976,7302.270747,7374.507695,7585.478548,8499.325164,8335.731375,8311.390536,8360.43272,9326.871245,9349.473025,9364.021039,13143.95497,13272.54636,14144.09729,14264.49812,14439.01628,15252.2334,15450.62015,25542.89483,26387.5163,26181.77868,26963.41699,27791.41625,27585.95076,28365.45005,29175.00151,27454.32704,28213.38428,29777.19041,28116.69918,28870.61623,29636.37618,30401.15098,29562.35615,30297.59492,31067.96923,29516.51467,30296.51314,30942.4647,31762.49621,31635.74915,32362.19436,33097.17486,32339.65708,33059.82467,33787.99648,12602.83497,12754.15021,17241.37022,18227.25394,18409.55363,19231.36389,19404.494,20112.90948,20695.58242,19848.46749,18983.40311,22067.10957,21190.97408,20362.78352,19528.26868,22596.50283,21763.75035,20907.44995,19904.06808,20750.8432,18782.00435,19748.62238,16977.79812,17798.64216,19461.55995,13332.94291,14138.74627,14836.45842,15636.17876,16482.36136,17277.60012,17952.93503,11177.65324,11927.25505,12617.39259,13461.39223,14214.3599,15904.12796,16676.15045,9883.981079,10552.17012,11250.57487,12033.26493,13712.63354,15470.24204,9101.226676,9864.719786,10659.03342,12322.86563,13171.37546,15104.91733,10069.09001,15557.00972,16968.0573,29014.23619,9279.086045,12889.22318,15082.86407,14590.75303,18557.56119,8441.478866
BE1,18678.8329,17638.75606,17754.36773,16732.61723,16862.52909,15769.29254,15871.4137,14873.234,0,1406.387165,984.6498837,1373.052153,2223.117703,2001.126458,2207.358192,2971.247329,15193.84544,15268.32094,15342.37073,14560.24392,14771.69427,7396.729071,8420.026526,22278.37153,14048.45809,14423.49135,13507.98624,10672.49582,11123.9632,10385.84397,11389.33667,8467.358025,8692.243877,8267.805456,9201.526908,24326.89947,25191.15836,23788.11577,24626.06821,25522.59944,25888.44048,14399.88833,15145.53362,9658.173251,10242.39967,8669.491043,8943.849959,9324.339467,7526.651571,7698.196335,8086.963865,8409.621491,6489.059956,6538.543238,6720.730807,7082.752585,5552.165233,5726.852106,6183.079906,4267.343358,5220.055563,4021.819105,4982.254617,5920.595041,4964.710067,5973.123405,23034.89802,24062.92962,23107.36422,24102.77686,25115.2384,24195.46064,25195.48218,26184.65954,23322.82818,24306.93015,26291.03263,23477.87425,24472.99619,25460.6189,26446.61346,24673.19741,25673.24776,26647.63693,23954.03492,24997.13138,25876.72852,26916.11828,26137.29442,27099.95404,28063.23791,26439.10793,27393.28237,28356.05671,4717.641024,3983.853554,5745.878202,6210.849261,7070.437277,6803.508014,7601.041628,8621.381584,16307.7275,15360.54981,14433.98902,17037.08726,16060.61597,15081.31317,14117.37778,16870.43716,15896.20091,14887.79357,13788.66663,13771.12931,8980.602183,9373.173895,16736.38747,17563.22174,19527.09061,13181.64819,14148.53916,15053.27156,15992.13342,16957.34678,17886.21395,18841.12825,11859.53683,12749.64352,13607.42369,14516.6028,15425.07021,17268.96251,18183.5782,11629.54557,12554.3652,13311.54806,14142.32583,15885.89821,17727.25263,12356.79898,13094.38199,13850.86144,15540.62492,16365.52668,18285.93218,14490.21665,8134.765563,8957.437867,25320.61711,13806.70571,14989.03123,16350.87475,16786.795,18475.78617,13091.98292
BE2,19694.14381,18665.40757,18822.72415,17805.39129,17985.90853,16850.23141,17003.19658,16015.45042,1406.387165,0,986.6763094,1994.492896,999.1277768,1414.681486,2227.317641,2268.549019,16245.08561,16257.897,16266.99253,15402.46494,15539.48426,6887.114759,7838.638328,21671.27959,15328.09526,15737.61141,14835.20083,11797.39104,12237.79611,11428.84576,12428.34445,9869.728271,10063.72907,9600.93717,10515.99799,25715.74382,26575.44277,25169.23099,26001.22315,26891.28783,27239.03962,14884.83401,15568.18232,10864.97373,11558.13644,9893.235477,10231.12745,10659.28112,8687.343807,8944.151571,9404.7462,9764.470251,7543.587538,7714.836738,7990.167445,8416.342424,6750.60061,7025.049783,7543.345128,5602.501806,6521.767942,5240.958361,6174.832999,7094.275424,6003.305459,7009.893623,24059.57293,25086.94074,24089.54788,25087.47909,26100.90337,25138.40744,26142.88904,27134.20394,24217.54668,25206.7477,27200.47284,24326.46977,25328.88329,26322.85952,27315.75492,25482.58027,26493.63449,27474.40267,24709.91022,25763.98407,26654.32588,27701.57273,26870.53725,27844.50284,28818.63225,27128.92111,28095.32247,29070.51481,4919.284356,4262.953843,6420.244452,6695.168192,7633.322715,7110.078392,8005.2618,9021.476858,15645.89446,14723.60855,13830.24959,16282.43048,15326.49008,14366.12127,13427.53605,16047.20149,15087.25147,14096.62524,13030.37328,12912.03191,9685.315407,9950.404572,17996.46923,18808.85381,20755.83718,14517.76805,15469.7047,16364.09403,17290.94994,18244.33992,19163.906,20116.44533,13244.58528,14122.50635,14969.62203,15865.14618,16763.43528,18584.58499,19491.64969,13032.33815,13951.29022,14700.83543,15522.20467,17244.73811,19065.52882,13763.15611,14498.47713,15249.92477,16925.41062,17741.92002,19643.25006,15895.03081,7613.477917,8246.440713,26224.86693,15213.07785,16357.74657,17676.70117,18134.8148,19713.52786,14496.79998
