Location,Cam__,Lat,Long,Join1,X,Y
OU,19,47.05474,-90.45169,OU19,485695.633,731345.234
OU,20,47.05467,-90.43755,OU20,486769.491,731331.354
OU,21,47.05417,-90.42551,OU21,487683.601,731270.749
OU,22,47.05437,-90.41157,OU22,488742.44,731287.314
OU,24,47.0633,-90.4252,OU24,487712.657,732285.214
OU,25,47.0630333,-90.4120167,OU25,488713.582,732250.221
OU,26,47.0626833,-90.3988333,OU26,489714.478,732206.14
OU,27,47.07224,-90.42474,OU27,487752.979,733278.503
OU,28,47.07212,-90.41159,OU28,488751.295,733259.833
OU,29,47.07179,-90.39828,OU29,489761.645,733217.931
RA,1,46.97349,-90.80185,RA1,459009.396,722529.216
RA,2,46.97736,-90.79383,RA2,459623.775,722953.06
RO,1,47.02305,-90.68793,RO1,467722.824,727954.251
RO,2,47.03205,-90.68768,RO2,467750.606,728954.222
RO,3,47.03181,-90.67461,RO3,468743.431,728918.912
RO,4,47.0412012,-90.6874159,RO4,467779.601,729970.986
RO,5,47.0411412,-90.65479,RO5,468779.885,729934.532
RO,6,47.04552,-90.66257,RO6,469671.125,730434.646
SA,1,46.96598,-90.9652,SA1,446574.301,721834.745
SA,2,46.96588,-90.95225,SA2,447559.313,721811.582
SA,3,46.96528,-90.93929,SA3,448544.423,721733.01
SA,4,46.97524,-90.97809,SA4,445606.562,722875.916
SA,5,46.97479,-90.96488,SA5,446610.698,722813.454
SA,6,46.97484,-90.95174,SA6,447610.201,722806.788
SA,7,46.97451,-90.93864,SA7,448606.155,722758.1
SA,8,46.9842,-90.97795,SA8,445629.636,723871.461
SA,9,46.9839,-90.9649667,SA9,446616.57,723825.883
SA,10,46.9835,-90.9514833,SA10,447641.411,723768.893
SA,11,46.98204,-90.93649,SA11,448779.687,723592.914
SA,12,46.99253,-90.93829,SA12,448656.756,724760.254
SO,1,47.02932,-90.64594,SO1,470919.497,728623.838
SO,2,47.03851,-90.64571,SO2,470945.396,729644.946
ST,C9,46.957706,-90.548202,STC9,478290.306,720609.04
ST,C10,46.958846,-90.53632,STC10,479195.219,720729.469
ST,C12,46.957932,-90.509877,STC12,481206.44,720614.476
ST,D5,46.951522,-90.60204,STD5,474188.75,719951.894
ST,D6,46.951497,-90.588031,STD6,475254.73,719941.025
ST,D7,46.950747,-90.57554,STD7,476204.61,719850.628
ST,D8,46.950494,-90.562357,STD8,477207.57,719815.234
ST,D9,46.950314,-90.548868,STD9,478233.883,719787.957
ST,D10,46.949789,-90.536158,STD10,479200.661,719722.924
ST,D11,46.947449,-90.524057,STD11,480119.767,719456.666
ST,E3,46.942993,-90.629371,STE3,472101.417,719020.443
ST,E4,46.942867,-90.615514,STE4,473155.909,718998.069
ST,E5,46.942297,-90.602872,STE5,474117.557,718927.253
ST,E6,46.942475,-90.58908,STE6,475167.375,718939.055
ST,E7,46.941709,-90.576238,STE7,476144.114,718846.671
ST,E9,46.941258,-90.549809,STE9,478155.22,718782.111
ST,E10,46.940169,-90.537414,STE10,479097.757,718654.557
ST,F2,46.935163,-90.642002,STF2,471132.997,718158.129
ST,F3,46.933801,-90.627912,STF3,472204.276,717998.094
ST,F4,46.933593,-90.615703,STF4,473133.433,717967.612
ST,F5,46.933392,-90.602652,STF5,474126.696,717937.559
ST,F7,46.93304,-90.576117,STF7,476146.246,717883.263
ST,F9,46.932253,-90.549325,STF9,478185.047,717781.175
ST,G2,46.925271,-90.642344,STG2,471097.962,717059.099
ST,G3,46.925171,-90.629199,STG3,472098.617,717039.874
ST,G4,46.925117,-90.616237,STG4,473085.385,717026.039
ST,G6,46.924066,-90.589684,STG6,475106.025,716893.707
ST,G7,46.923805,-90.576914,STG7,476078.029,716857.473
ST,G9,46.922792,-90.548359,STG9,478251.23,716729.31
ST,H4,46.915798,-90.616847,STH4,473030.801,715990.836
YO,1,46.9801,-90.85927,YO1,454649.935,723310.039
YO,2,46.98847,-90.87363,YO2,453568.181,724252.233
OU,23,47.02747655,-90.42658319,OU23,487585.418,728305.777
ST,,0,0,ST1,472100.056,716010.886
ST,,0,0,ST2,475143.44,717952.855
ST,,0,0,ST3,477172.363,718841.716
ST,,0,0,ST4,477162.701,717856.239
ST,,0,0,ST5,480128.793,720667.747
ST,,0,0,ST6,471075.933,716030.209
